#X,rev_axeAmortisseur_supportPrincipal->RZ_Velocity(rel)
#Time(sec),Angular Velocity(degrees/sec)_Real
6.960000E+00,-6.661832
6.970000E+00,-6.663923
6.980000E+00,-6.666008
6.990000E+00,-6.668086
7.000000E+00,-6.670157
7.010000E+00,-6.672223
7.020000E+00,-6.674282
7.030000E+00,-6.676334
7.040000E+00,-6.678380
7.050000E+00,-6.680420
7.060000E+00,-6.682452
7.070000E+00,-6.684479
7.080000E+00,-6.686498
7.090000E+00,-6.688512
7.100000E+00,-6.690518
7.110000E+00,-6.692518
7.120000E+00,-6.694511
7.130000E+00,-6.696497
7.140000E+00,-6.698477
7.150000E+00,-6.700449
7.160000E+00,-6.702416
7.170000E+00,-6.704375
7.180000E+00,-6.706327
7.190000E+00,-6.708273
7.200000E+00,-6.710211
7.210000E+00,-6.712143
7.220000E+00,-6.714068
7.230000E+00,-6.715986
7.240000E+00,-6.717897
7.250000E+00,-6.719801
7.260000E+00,-6.721698
7.270000E+00,-6.723588
7.280000E+00,-6.725471
7.290000E+00,-6.727347
7.300000E+00,-6.729215
7.310000E+00,-6.731077
7.320000E+00,-6.732931
7.330000E+00,-6.734778
7.340000E+00,-6.736619
7.350000E+00,-6.738451
7.360000E+00,-6.740277
7.370000E+00,-6.742095
7.380000E+00,-6.743906
7.390000E+00,-6.745710
7.400000E+00,-6.747506
7.410000E+00,-6.749295
7.420000E+00,-6.751077
7.430000E+00,-6.752851
7.440000E+00,-6.754618
7.450000E+00,-6.756377
7.460000E+00,-6.758129
7.470000E+00,-6.759873
7.480000E+00,-6.761610
7.490000E+00,-6.763340
7.500000E+00,-6.765062
7.510000E+00,-6.766776
7.520000E+00,-6.768482
7.530000E+00,-6.770182
7.540000E+00,-6.771873
7.550000E+00,-6.773557
7.560000E+00,-6.775233
7.570000E+00,-6.776901
7.580000E+00,-6.778562
7.590000E+00,-6.780215
7.600000E+00,-6.781860
7.610000E+00,-6.783498
7.620000E+00,-6.785127
7.630000E+00,-6.786749
7.640000E+00,-6.788363
7.650000E+00,-6.789969
7.660000E+00,-6.791567
7.670000E+00,-6.793158
7.680000E+00,-6.794740
7.690000E+00,-6.796315
7.700000E+00,-6.797881
7.710000E+00,-6.799440
7.720000E+00,-6.800990
7.730000E+00,-6.802533
7.740000E+00,-6.804067
7.750000E+00,-6.805594
7.760000E+00,-6.807112
7.770000E+00,-6.808622
7.780000E+00,-6.810124
7.790000E+00,-6.811619
7.800000E+00,-6.813104
